population,time
50,2.1526715755462646
50,2.0668141841888428
50,2.0606019496917725
50,2.03240704536438
50,2.086014986038208
50,2.088592290878296
50,2.0687170028686523
50,2.0661497116088867
50,2.091665506362915
50,2.07242488861084
100,2.102175712585449
100,2.1076509952545166
100,2.05906081199646
100,2.074676513671875
100,2.0584895610809326
100,2.0470809936523438
100,2.049001932144165
100,2.0759518146514893
100,2.080244779586792
100,2.0776984691619873
150,2.0766139030456543
150,2.089944362640381
150,2.0834460258483887
150,2.075895071029663
150,2.0969467163085938
150,2.0823540687561035
150,2.07834792137146
150,2.061920642852783
150,2.07257342338562
150,2.0889382362365723
200,2.087925672531128
200,2.081373453140259
200,2.0676193237304688
200,2.0787956714630127
200,2.0802338123321533
200,2.0621163845062256
200,2.0703678131103516
200,2.0787193775177
200,2.0778355598449707
200,2.0838403701782227
250,2.060248613357544
250,2.0552000999450684
250,2.104484796524048
250,2.052867889404297
250,2.0599682331085205
250,2.0577101707458496
250,2.0340964794158936
250,2.069976568222046
250,2.078267812728882
250,2.0860111713409424
300,2.075208902359009
300,2.065481185913086
300,2.084181785583496
300,2.085129499435425
300,2.0989699363708496
300,2.067049026489258
300,2.067138195037842
300,2.072160482406616
300,2.0717597007751465
300,2.0699779987335205
350,2.0914742946624756
350,2.091648817062378
350,2.074453830718994
350,2.0711872577667236
350,2.0613839626312256
350,2.1028597354888916
350,2.0854570865631104
350,2.0869767665863037
350,2.0717368125915527
350,2.0896260738372803
400,2.0546329021453857
400,2.0846214294433594
400,2.088660717010498
400,2.096346616744995
400,2.0720889568328857
400,2.086016893386841
400,2.046553611755371
400,2.1017038822174072
400,2.0813121795654297
400,2.0901427268981934
450,2.0458834171295166
450,2.0868401527404785
450,2.067516326904297
450,2.07291579246521
450,2.0711100101470947
450,2.080493927001953
450,2.0697245597839355
450,2.065516471862793
450,2.0840988159179688
450,2.0750231742858887
500,2.075946092605591
500,2.0600407123565674
500,2.077883243560791
500,2.05873703956604
500,2.0941548347473145
500,2.0776748657226562
500,2.0903329849243164
500,2.0872583389282227
500,2.0677709579467773
500,2.0685088634490967
550,2.07741379737854
550,2.0809926986694336
550,2.0737011432647705
550,2.091446876525879
550,2.097537040710449
550,2.0843119621276855
550,2.0806570053100586
550,2.084926128387451
550,2.082660675048828
550,2.0823981761932373
600,2.0384535789489746
600,2.0979909896850586
600,2.0592703819274902
600,2.065450668334961
600,2.0939910411834717
600,2.083937883377075
600,2.0703580379486084
600,2.0639595985412598
600,2.078711748123169
600,2.083907127380371
650,2.1387104988098145
650,2.0766115188598633
650,2.0774264335632324
650,2.0455410480499268
650,2.076397657394409
650,2.0490150451660156
650,2.0856199264526367
650,2.078294277191162
650,2.0889527797698975
650,2.0787572860717773
700,2.0992050170898438
700,2.079512119293213
700,2.074998617172241
700,2.1039352416992188
700,2.07539439201355
700,2.06500244140625
700,2.065141439437866
700,2.0607385635375977
700,2.062091588973999
700,2.0891921520233154
750,2.0718584060668945
750,2.0802083015441895
750,2.082580089569092
750,2.0878653526306152
750,2.0869202613830566
750,2.082704782485962
750,2.0563578605651855
750,2.095388174057007
750,2.0492775440216064
750,2.0492682456970215
800,2.058398485183716
800,2.0549957752227783
800,2.068376302719116
800,2.0664007663726807
800,2.080045700073242
800,2.07351016998291
800,2.0742151737213135
800,2.026850700378418
800,2.0414838790893555
800,2.0631799697875977
850,2.0622823238372803
850,2.049602508544922
850,2.060966968536377
850,2.085747003555298
850,2.0738179683685303
850,2.065138101577759
850,2.072533369064331
850,2.05914568901062
850,2.0750157833099365
850,2.0956733226776123
900,2.0721449851989746
900,2.069854736328125
900,2.0428006649017334
900,2.0469977855682373
900,2.049227237701416
900,2.06312894821167
900,2.048124313354492
900,2.097897529602051
900,2.082831621170044
900,2.0774621963500977
950,2.0516257286071777
950,2.0689268112182617
950,2.078134298324585
950,2.0900793075561523
950,2.07993745803833
950,2.101285219192505
950,2.0735251903533936
950,2.0789666175842285
950,2.0833191871643066
950,2.071805000305176
1000,2.0849783420562744
1000,2.098233938217163
1000,2.081803798675537
1000,2.092895984649658
1000,2.0583786964416504
1000,2.0814719200134277
1000,2.070310115814209
1000,2.066446542739868
1000,2.0597896575927734
1000,2.04862117767334
