population,friendships,time
50,125,2.1538054943084717
50,125,2.0499677658081055
50,125,2.074223041534424
50,125,2.0825531482696533
50,125,2.0560927391052246
50,125,2.074002504348755
50,125,2.0624876022338867
50,125,2.046888589859009
50,125,2.0625991821289062
50,125,2.078139066696167
50,125,2.0781171321868896
50,125,2.078089952468872
50,125,2.0468392372131348
50,125,2.0937931537628174
50,125,2.0781266689300537
50,125,2.0781025886535645
50,125,2.0781264305114746
50,125,2.0624852180480957
50,125,2.046818494796753
50,125,2.0625312328338623
50,125,2.0780978202819824
50,125,2.062605142593384
50,125,2.062643051147461
50,125,2.0599563121795654
50,125,2.0625
50,125,2.0937554836273193
50,125,2.0624890327453613
50,125,2.062498092651367
50,125,2.046884536743164
50,125,2.046886444091797
100,500,2.0781331062316895
100,500,2.0468268394470215
100,500,2.078143358230591
100,500,2.0625505447387695
100,500,2.0781211853027344
100,500,2.031334638595581
100,500,2.093740463256836
100,500,2.0781049728393555
100,500,2.062516689300537
100,500,2.0781056880950928
100,500,2.0780773162841797
100,500,2.0780978202819824
100,500,2.0624353885650635
100,500,2.0781123638153076
100,500,2.0781033039093018
100,500,2.0781266689300537
100,500,2.0624942779541016
100,500,2.046940326690674
100,500,2.078138589859009
100,500,2.046849012374878
100,500,2.0781352519989014
100,500,2.0781326293945312
100,500,2.0624959468841553
100,500,2.077995538711548
100,500,2.0937254428863525
100,500,2.078080654144287
100,500,2.0625040531158447
100,500,2.093752145767212
100,500,2.0625011920928955
100,500,2.0781383514404297
150,1125,2.031320571899414
150,1125,2.0625338554382324
150,1125,2.0468788146972656
150,1125,2.078108787536621
150,1125,2.078111410140991
150,1125,2.0156798362731934
150,1125,2.0468671321868896
150,1125,2.1005232334136963
150,1125,2.098203659057617
150,1125,2.0721447467803955
150,1125,2.0647506713867188
150,1125,2.0781447887420654
150,1125,2.062464475631714
150,1125,2.0625288486480713
150,1125,2.062525749206543
150,1125,2.093749761581421
150,1125,2.0625035762786865
150,1125,2.062589645385742
150,1125,2.0468690395355225
150,1125,2.062525749206543
150,1125,2.0624988079071045
150,1125,2.0937554836273193
150,1125,2.0653414726257324
150,1125,2.0988123416900635
150,1125,2.0724282264709473
150,1125,2.078110933303833
150,1125,2.046865463256836
150,1125,2.0440776348114014
150,1125,2.0366363525390625
150,1125,2.064497232437134
200,2000,2.0767011642456055
200,2000,2.083009958267212
200,2000,2.0878326892852783
200,2000,2.0569052696228027
200,2000,2.072833299636841
200,2000,2.0937490463256836
200,2000,2.0468831062316895
200,2000,2.062500238418579
200,2000,2.062527894973755
200,2000,2.0312790870666504
200,2000,2.0624639987945557
200,2000,2.0781257152557373
200,2000,2.0781428813934326
200,2000,2.0625126361846924
200,2000,2.0468931198120117
200,2000,2.0779991149902344
200,2000,2.078113555908203
200,2000,2.078125
200,2000,2.062507152557373
200,2000,2.0469038486480713
200,2000,2.062505006790161
200,2000,2.0624337196350098
200,2000,2.078117847442627
200,2000,2.0850794315338135
200,2000,2.062514066696167
200,2000,2.062472343444824
200,2000,2.046880006790161
200,2000,2.0781211853027344
200,2000,2.0625059604644775
200,2000,2.078113079071045
250,3125,2.093881845474243
250,3125,2.0781164169311523
250,3125,2.093860387802124
250,3125,2.046875476837158
250,3125,2.0469143390655518
250,3125,2.0780372619628906
250,3125,2.062514543533325
250,3125,2.0781421661376953
250,3125,2.0625035762786865
250,3125,2.0781283378601074
250,3125,2.0937509536743164
250,3125,2.0937538146972656
250,3125,2.0624992847442627
250,3125,2.0625224113464355
250,3125,2.078120470046997
250,3125,2.0627381801605225
250,3125,2.0625009536743164
250,3125,2.093742609024048
250,3125,2.0624988079071045
250,3125,2.0469322204589844
250,3125,2.050676107406616
250,3125,2.0937860012054443
250,3125,2.0937647819519043
250,3125,2.078124761581421
250,3125,2.062451124191284
250,3125,2.0779974460601807
250,3125,2.062495708465576
250,3125,2.078129529953003
250,3125,2.07814884185791
250,3125,2.0781097412109375
300,4500,2.078143835067749
300,4500,2.0468952655792236
300,4500,2.0624594688415527
300,4500,2.0624918937683105
300,4500,2.046757221221924
300,4500,2.046879291534424
300,4500,2.0625510215759277
300,4500,2.093757152557373
300,4500,2.0312561988830566
300,4500,2.078017234802246
300,4500,2.0781047344207764
300,4500,2.046865224838257
300,4500,2.1678028106689453
300,4500,2.0677404403686523
300,4500,2.077303171157837
300,4500,2.041839599609375
300,4500,2.0510871410369873
300,4500,2.062490224838257
300,4500,2.078237295150757
300,4500,2.0625088214874268
300,4500,2.046891927719116
300,4500,2.078117847442627
300,4500,2.0781514644622803
300,4500,2.0937461853027344
300,4500,2.046948194503784
300,4500,2.0781140327453613
300,4500,2.1062819957733154
300,4500,2.110219717025757
300,4500,2.0383999347686768
300,4500,2.0624911785125732
350,6125,2.046872138977051
350,6125,2.046880006790161
350,6125,2.078239917755127
350,6125,2.046851634979248
350,6125,2.078145980834961
350,6125,2.062588930130005
350,6125,2.140627384185791
350,6125,2.078108310699463
350,6125,2.0938360691070557
350,6125,2.0781168937683105
350,6125,2.046888828277588
350,6125,2.062504529953003
350,6125,2.0625011920928955
350,6125,2.0780863761901855
350,6125,2.0624849796295166
350,6125,2.0780909061431885
350,6125,2.0625040531158447
350,6125,2.078136920928955
350,6125,2.0469067096710205
350,6125,2.0624983310699463
350,6125,2.0937232971191406
350,6125,2.0781235694885254
350,6125,2.0781431198120117
350,6125,2.0625128746032715
350,6125,2.078125
350,6125,2.0468437671661377
350,6125,2.031256914138794
