population,friendships,time
50,125,2.152381420135498
50,125,2.0847809314727783
50,125,2.0869569778442383
50,125,2.0649147033691406
50,125,2.0923871994018555
50,125,2.0536739826202393
50,125,2.071667194366455
50,125,2.0781373977661133
50,125,2.0468647480010986
50,125,2.089179515838623
50,125,2.0779950618743896
50,125,2.047011137008667
50,125,2.0603220462799072
50,125,2.0780746936798096
50,125,2.06251859664917
50,125,2.0700924396514893
50,125,2.046874761581421
50,125,2.031254529953003
50,125,2.0539190769195557
50,125,2.0624942779541016
50,125,2.0624783039093018
50,125,2.06028413772583
50,125,2.0623655319213867
50,125,2.078117609024048
50,125,2.073922634124756
50,125,2.078131914138794
50,125,2.046887159347534
50,125,2.047011137008667
50,125,2.0781264305114746
50,125,2.0672836303710938
100,500,2.0390830039978027
100,500,2.0625226497650146
100,500,2.0625252723693848
100,500,2.0689663887023926
100,500,2.062455654144287
100,500,2.0781373977661133
100,500,2.0433812141418457
100,500,2.0781304836273193
100,500,2.0312530994415283
100,500,2.056084394454956
100,500,2.062579393386841
100,500,2.093931198120117
100,500,2.042137622833252
100,500,2.0781397819519043
100,500,2.0312483310699463
100,500,2.0735504627227783
100,500,2.062511920928955
100,500,2.0626468658447266
100,500,2.061598777770996
100,500,2.0781242847442627
100,500,2.0781381130218506
100,500,2.075420379638672
100,500,2.0781285762786865
100,500,2.062497854232788
100,500,2.077927589416504
100,500,2.046919584274292
100,500,2.078137159347534
100,500,2.0743112564086914
100,500,2.0624983310699463
100,500,2.0468719005584717
150,1125,2.078873634338379
150,1125,2.046858310699463
150,1125,2.046861410140991
150,1125,2.061112403869629
150,1125,2.093737840652466
150,1125,2.078132152557373
150,1125,2.0505173206329346
150,1125,2.090954303741455
150,1125,2.061858892440796
150,1125,2.0800352096557617
150,1125,2.054536819458008
150,1125,2.078249454498291
150,1125,2.0710418224334717
150,1125,2.0624825954437256
150,1125,2.0937414169311523
150,1125,2.0740931034088135
150,1125,2.06250262260437
150,1125,2.0467731952667236
150,1125,2.063429355621338
150,1125,2.0781257152557373
150,1125,2.062488079071045
150,1125,2.089503765106201
150,1125,2.0781428813934326
150,1125,2.074300765991211
150,1125,2.052347421646118
150,1125,2.071194887161255
150,1125,2.079582691192627
150,1125,2.069615125656128
150,1125,2.0734169483184814
150,1125,2.0769407749176025
200,2000,2.0493826866149902
200,2000,2.0682671070098877
200,2000,2.0932490825653076
200,2000,2.0714194774627686
200,2000,2.0567452907562256
200,2000,2.0937275886535645
200,2000,2.0499625205993652
200,2000,2.0781283378601074
200,2000,2.0937674045562744
200,2000,2.081277370452881
200,2000,2.0937538146972656
200,2000,2.078145980834961
200,2000,2.0481834411621094
200,2000,2.0624852180480957
200,2000,2.0781214237213135
200,2000,2.085935592651367
200,2000,2.0470027923583984
200,2000,2.0625200271606445
200,2000,2.0698187351226807
200,2000,2.062483549118042
200,2000,2.0624806880950928
200,2000,2.07138729095459
200,2000,2.0468945503234863
200,2000,2.0718369483947754
200,2000,2.0807292461395264
200,2000,2.062527656555176
200,2000,2.0624990463256836
200,2000,2.092090368270874
200,2000,2.0781283378601074
200,2000,2.046874761581421
250,3125,2.0746402740478516
250,3125,2.078136920928955
250,3125,2.0623958110809326
250,3125,2.0610220432281494
250,3125,2.078073501586914
250,3125,2.046889543533325
250,3125,2.1012814044952393
250,3125,2.046858072280884
250,3125,2.078112840652466
250,3125,2.0515828132629395
250,3125,2.0625038146972656
250,3125,2.0781209468841553
250,3125,2.0844738483428955
250,3125,2.093778371810913
250,3125,2.07808780670166
250,3125,2.0605664253234863
250,3125,2.0781261920928955
250,3125,2.0625083446502686
250,3125,2.0581979751586914
250,3125,2.078131675720215
250,3125,2.0781238079071045
250,3125,2.0772805213928223
250,3125,2.109368324279785
250,3125,2.0625057220458984
250,3125,2.0577995777130127
250,3125,2.078136920928955
250,3125,2.1094958782196045
250,3125,2.0508055686950684
250,3125,2.0781264305114746
250,3125,2.0624892711639404
300,4500,2.0541231632232666
300,4500,2.0624923706054688
300,4500,2.0781095027923584
300,4500,2.0778257846832275
300,4500,2.078139305114746
300,4500,2.0626132488250732
300,4500,2.060832977294922
300,4500,2.0624406337738037
300,4500,2.093759536743164
300,4500,2.080009937286377
300,4500,2.0782511234283447
300,4500,2.0937674045562744
300,4500,2.1520094871520996
300,4500,2.0555331707000732
300,4500,2.0638678073883057
300,4500,2.0640478134155273
300,4500,2.072716236114502
300,4500,2.052459955215454
300,4500,2.049901008605957
300,4500,2.0859744548797607
300,4500,2.068173408508301
300,4500,2.03691029548645
300,4500,2.068493127822876
300,4500,2.0913233757019043
300,4500,2.0870800018310547
300,4500,2.052952289581299
300,4500,2.110265016555786
300,4500,2.090235710144043
300,4500,2.0459020137786865
300,4500,2.037524461746216
350,6125,2.0432090759277344
350,6125,2.0691287517547607
350,6125,2.085357427597046
350,6125,2.0357255935668945
350,6125,2.084155321121216
350,6125,2.0551626682281494
350,6125,2.1065027713775635
350,6125,2.0687901973724365
350,6125,2.040942668914795
350,6125,2.087473154067993
350,6125,2.084113597869873
350,6125,2.0844104290008545
350,6125,2.072624921798706
350,6125,2.0894811153411865
350,6125,2.0683655738830566
350,6125,2.05759859085083
350,6125,2.084472179412842
350,6125,2.051924467086792
350,6125,2.0808634757995605
350,6125,2.083246946334839
350,6125,2.067915201187134
350,6125,2.058532238006592
350,6125,2.052380323410034
350,6125,2.0699565410614014
350,6125,2.078402519226074
350,6125,2.086242437362671
350,6125,2.068528413772583
350,6125,2.0815558433532715
350,6125,2.070875406265259
350,6125,2.0595579147338867
400,8000,2.076606273651123
400,8000,2.0403943061828613
400,8000,2.0845072269439697
400,8000,2.060886859893799
400,8000,2.083364248275757
400,8000,2.058676242828369
400,8000,2.0672338008880615
400,8000,2.083064079284668
400,8000,2.0761406421661377
400,8000,2.0552446842193604
400,8000,2.0676913261413574
400,8000,2.0839672088623047
400,8000,2.0793864727020264
400,8000,2.101879596710205
400,8000,2.075047731399536
400,8000,2.0527470111846924
400,8000,2.05353045463562
400,8000,2.0519766807556152
400,8000,2.0808334350585938
400,8000,2.0688140392303467
400,8000,2.0598886013031006
400,8000,2.051258087158203
400,8000,2.0841002464294434
400,8000,2.100536584854126
400,8000,2.0842936038970947
400,8000,2.084202527999878
400,8000,2.0781502723693848
400,8000,2.093595266342163
400,8000,2.0840585231781006
400,8000,2.0722081661224365
450,10125,2.043670415878296
450,10125,2.0371170043945312
450,10125,2.068314790725708
450,10125,2.06951904296875
450,10125,2.081840991973877
450,10125,2.0706734657287598
450,10125,2.070852518081665
450,10125,2.0854740142822266
450,10125,2.052696466445923
450,10125,2.040019989013672
450,10125,2.0525271892547607
450,10125,2.051628589630127
450,10125,2.0602948665618896
450,10125,2.0987050533294678
450,10125,2.06781268119812
450,10125,2.1045033931732178
450,10125,2.0676839351654053
450,10125,2.0840585231781006
450,10125,2.068723201751709
450,10125,2.0516722202301025
450,10125,2.0680887699127197
450,10125,2.0789458751678467
450,10125,2.0651986598968506
450,10125,2.0520899295806885
450,10125,2.0649094581604004
450,10125,2.097917318344116
450,10125,2.063354253768921
450,10125,2.07497239112854
450,10125,2.0856354236602783
450,10125,2.054286003112793
500,12500,2.026460886001587
500,12500,2.0365662574768066
500,12500,2.082880735397339
500,12500,2.033034324645996
500,12500,2.0586884021759033
500,12500,2.0680534839630127
500,12500,2.07686710357666
500,12500,2.03936505317688
500,12500,2.081509590148926
500,12500,2.090313196182251
500,12500,2.065316915512085
500,12500,2.0833423137664795
500,12500,2.056140899658203
500,12500,2.0371086597442627
500,12500,2.0853066444396973
500,12500,2.0409903526306152
500,12500,2.0628855228424072
500,12500,2.056819438934326
500,12500,2.0588748455047607
500,12500,2.0688066482543945
500,12500,2.0804834365844727
500,12500,2.060882806777954
500,12500,2.0650453567504883
500,12500,2.0576508045196533
500,12500,2.063596248626709
500,12500,2.0513625144958496
500,12500,2.058544635772705
500,12500,2.076174020767212
500,12500,2.0815675258636475
500,12500,2.0651113986968994
550,15125,2.074063539505005
550,15125,2.061643123626709
550,15125,2.057805061340332
550,15125,2.05472731590271
550,15125,2.084089994430542
550,15125,2.034860849380493
550,15125,2.0482847690582275
550,15125,2.079265832901001
550,15125,2.057224988937378
550,15125,2.056403160095215
550,15125,2.056746006011963
550,15125,2.040391683578491
550,15125,2.074824094772339
550,15125,2.040919065475464
550,15125,2.057229995727539
550,15125,2.0521655082702637
550,15125,2.0539770126342773
